# ts src_ip dst_ip proto flags src_port dst_port
1773426884.095875 10.0.0.60 192.168.1.20 TCP A 57809 80
1773426884.120875 10.0.0.26 192.168.1.20 TCP A 25935 80
1773426884.145875 10.0.0.72 192.168.1.20 TCP A 30738 80
1773426884.170876 10.0.0.94 192.168.1.20 TCP A 11683 80
1773426884.195876 10.0.0.95 192.168.1.20 TCP A 24307 80
1773426884.220876 10.0.0.54 192.168.1.20 TCP A 44944 80
1773426884.245876 10.0.0.69 192.168.1.20 TCP S 47018 80
1773426884.345876 10.0.0.19 192.168.1.20 TCP S 40944 80
1773426884.445876 10.0.0.44 192.168.1.20 TCP S 36029 80
1773426884.545876 10.0.0.63 192.168.1.20 TCP S 11732 80
1773426884.645875 10.0.0.119 192.168.1.20 TCP S 25891 80
1773426884.745875 10.0.0.70 192.168.1.20 TCP S 61670 80
1773426884.845875 10.0.0.143 192.168.1.20 TCP S 15416 80
1773426884.945875 10.0.0.84 192.168.1.20 TCP S 56261 80
1773426885.045875 10.0.0.15 192.168.1.20 TCP S 16034 80
1773426885.145875 10.0.0.9 192.168.1.20 TCP S 53783 80
1773426885.245875 10.0.0.81 192.168.1.20 TCP A 27314 80
1773426885.270875 10.0.0.69 192.168.1.20 TCP A 5361 80
1773426885.295875 10.0.0.55 192.168.1.20 TCP A 60867 80
1773426885.320875 10.0.0.146 192.168.1.20 TCP A 58457 80
1773426885.345875 10.0.0.81 192.168.1.20 TCP A 14958 80
1773426885.370875 10.0.0.128 192.168.1.20 TCP A 26952 80
1773426885.395875 10.0.0.118 192.168.1.20 TCP A 10387 80
1773426885.420876 10.0.0.68 192.168.1.20 TCP A 10174 80
1773426885.445876 10.0.0.64 192.168.1.20 TCP A 49847 80
1773426885.470876 10.0.0.144 192.168.1.20 TCP A 36346 80
1773426885.495876 10.0.0.68 192.168.1.20 TCP A 49980 80
1773426885.520876 10.0.0.150 192.168.1.20 TCP A 29101 80
1773426885.545876 10.0.0.150 192.168.1.20 TCP A 27199 80
1773426885.570876 10.0.0.93 192.168.1.20 TCP A 15397 80
1773426885.595876 10.0.0.36 192.168.1.20 TCP A 34416 80
1773426885.620876 10.0.0.127 192.168.1.20 TCP A 6981 80
1773426885.645876 10.0.0.13 192.168.1.20 TCP A 57457 80
1773426885.670877 10.0.0.29 192.168.1.20 TCP A 11040 80
1773426885.695877 10.0.0.41 192.168.1.20 TCP A 52933 80
1773426885.720877 10.0.0.109 192.168.1.20 TCP A 40110 80
1773426885.745877 10.0.0.17 192.168.1.20 TCP A 26240 80
1773426885.770877 10.0.0.98 192.168.1.20 TCP A 40076 80
1773426885.795877 10.0.0.120 192.168.1.20 TCP A 35700 80
1773426885.820877 10.0.0.65 192.168.1.20 TCP A 64664 80
1773426885.845877 10.0.0.142 192.168.1.20 TCP A 57436 80
1773426885.870877 10.0.0.3 192.168.1.20 TCP A 45607 80
1773426885.895877 10.0.0.30 192.168.1.20 TCP A 45700 80
1773426885.920877 10.0.0.138 192.168.1.20 TCP A 50233 80
1773426885.945878 10.0.0.69 192.168.1.20 TCP A 51394 80
1773426885.970878 10.0.0.88 192.168.1.20 TCP A 8334 80
1773426885.995878 10.0.0.76 192.168.1.20 TCP A 29516 80
1773426886.020878 10.0.0.41 192.168.1.20 TCP A 30759 80
1773426886.045878 10.0.0.1 192.168.1.20 TCP A 63533 80
1773426886.070878 10.0.0.68 192.168.1.20 TCP A 64717 80
1773426886.095878 10.0.0.129 192.168.1.20 TCP A 50959 80
1773426886.120878 10.0.0.46 192.168.1.20 TCP A 34295 80
1773426886.145878 10.0.0.28 192.168.1.20 TCP A 58074 80
1773426886.170878 10.0.0.77 192.168.1.20 TCP A 56183 80
1773426886.195879 10.0.0.130 192.168.1.20 TCP A 40933 80
1773426886.220879 10.0.0.51 192.168.1.20 TCP A 11040 80
1773426886.245879 10.0.0.96 192.168.1.20 TCP S 50995 80
1773426886.345879 10.0.0.42 192.168.1.20 TCP S 36372 80
1773426886.445879 10.0.0.136 192.168.1.20 TCP S 61218 80
1773426886.545878 10.0.0.1 192.168.1.20 TCP S 40276 80
1773426886.645878 10.0.0.83 192.168.1.20 TCP S 33045 80
1773426886.745878 10.0.0.5 192.168.1.20 TCP S 8355 80
1773426886.845878 10.0.0.93 192.168.1.20 TCP S 58611 80
1773426886.945878 10.0.0.79 192.168.1.20 TCP S 16716 80
1773426887.045878 10.0.0.15 192.168.1.20 TCP S 16809 80
1773426887.145878 10.0.0.146 192.168.1.20 TCP S 63083 80
1773426887.245878 10.0.0.21 192.168.1.20 TCP A 6637 80
1773426887.270878 10.0.0.125 192.168.1.20 TCP A 54502 80
1773426887.295878 10.0.0.18 192.168.1.20 TCP A 65117 80
1773426887.320878 10.0.0.137 192.168.1.20 TCP A 51213 80
1773426887.345878 10.0.0.33 192.168.1.20 TCP A 9438 80
1773426887.370878 10.0.0.122 192.168.1.20 TCP A 63076 80
1773426887.395878 10.0.0.141 192.168.1.20 TCP A 11845 80
1773426887.420878 10.0.0.68 192.168.1.20 TCP A 35605 80
1773426887.445879 10.0.0.109 192.168.1.20 TCP A 64224 80
1773426887.470879 10.0.0.55 192.168.1.20 TCP A 61901 80
1773426887.495879 10.0.0.139 192.168.1.20 TCP A 50521 80
1773426887.520879 10.0.0.52 192.168.1.20 TCP A 47747 80
1773426887.545879 10.0.0.80 192.168.1.20 TCP A 27172 80
1773426887.570879 10.0.0.96 192.168.1.20 TCP A 29735 80
1773426887.595879 10.0.0.133 192.168.1.20 TCP A 30612 80
1773426887.620879 10.0.0.31 192.168.1.20 TCP A 17270 80
1773426887.645879 10.0.0.58 192.168.1.20 TCP A 5220 80
1773426887.670879 10.0.0.87 192.168.1.20 TCP A 2402 80
1773426887.695879 10.0.0.142 192.168.1.20 TCP A 16104 80
1773426887.720880 10.0.0.57 192.168.1.20 TCP A 1495 80
1773426887.745880 10.0.0.19 192.168.1.20 TCP A 47413 80
1773426887.770880 10.0.0.16 192.168.1.20 TCP A 16027 80
1773426887.795880 10.0.0.18 192.168.1.20 TCP A 60361 80
1773426887.820880 10.0.0.9 192.168.1.20 TCP A 57361 80
1773426887.845880 10.0.0.85 192.168.1.20 TCP A 5667 80
1773426887.870880 10.0.0.132 192.168.1.20 TCP A 16621 80
1773426887.895880 10.0.0.72 192.168.1.20 TCP A 44866 80
1773426887.920880 10.0.0.125 192.168.1.20 TCP A 15064 80
1773426887.945880 10.0.0.139 192.168.1.20 TCP A 9695 80
1773426887.970881 10.0.0.147 192.168.1.20 TCP A 38786 80
1773426887.995881 10.0.0.122 192.168.1.20 TCP A 16949 80
1773426888.020881 10.0.0.122 192.168.1.20 TCP A 53944 80
1773426888.045881 10.0.0.105 192.168.1.20 TCP A 13502 80
1773426888.070881 10.0.0.25 192.168.1.20 TCP A 7376 80
1773426888.095881 10.0.0.111 192.168.1.20 TCP A 24243 80
1773426888.120881 10.0.0.109 192.168.1.20 TCP A 27965 80
1773426888.145881 10.0.0.120 192.168.1.20 TCP A 57636 80
1773426888.170881 10.0.0.14 192.168.1.20 TCP A 45153 80
1773426888.195881 10.0.0.26 192.168.1.20 TCP A 4996 80
1773426888.220881 10.0.0.104 192.168.1.20 TCP A 48748 80
1773426888.245882 10.0.0.87 192.168.1.20 TCP S 53491 80
1773426888.345881 10.0.0.28 192.168.1.20 TCP S 17319 80
1773426888.445881 10.0.0.50 192.168.1.20 TCP S 13489 80
1773426888.545881 10.0.0.138 192.168.1.20 TCP S 30424 80
1773426888.645881 10.0.0.36 192.168.1.20 TCP S 28672 80
1773426888.745881 10.0.0.47 192.168.1.20 TCP S 19278 80
1773426888.845881 10.0.0.119 192.168.1.20 TCP S 17395 80
1773426888.945881 10.0.0.20 192.168.1.20 TCP S 30065 80
1773426889.045881 10.0.0.141 192.168.1.20 TCP S 7440 80
1773426889.145881 10.0.0.13 192.168.1.20 TCP S 43762 80
1773426889.245881 10.0.0.139 192.168.1.20 TCP A 55813 80
1773426889.270881 10.0.0.4 192.168.1.20 TCP A 64528 80
1773426889.295881 10.0.0.24 192.168.1.20 TCP A 61734 80
1773426889.320881 10.0.0.61 192.168.1.20 TCP A 11923 80
1773426889.345881 10.0.0.105 192.168.1.20 TCP A 32850 80
1773426889.370881 10.0.0.124 192.168.1.20 TCP A 15032 80
1773426889.395881 10.0.0.103 192.168.1.20 TCP A 60166 80
1773426889.420881 10.0.0.16 192.168.1.20 TCP A 11813 80
1773426889.445881 10.0.0.98 192.168.1.20 TCP A 1165 80
1773426889.470881 10.0.0.100 192.168.1.20 TCP A 18404 80
1773426889.495882 10.0.0.117 192.168.1.20 TCP A 19718 80
1773426889.520882 10.0.0.109 192.168.1.20 TCP A 46675 80
1773426889.545882 10.0.0.143 192.168.1.20 TCP A 44400 80
1773426889.570882 10.0.0.125 192.168.1.20 TCP A 11168 80
1773426889.595882 10.0.0.49 192.168.1.20 TCP A 20469 80
1773426889.620882 10.0.0.56 192.168.1.20 TCP A 64509 80
1773426889.645882 10.0.0.15 192.168.1.20 TCP A 38981 80
1773426889.670882 10.0.0.139 192.168.1.20 TCP A 5018 80
1773426889.695882 10.0.0.81 192.168.1.20 TCP A 4770 80
1773426889.720882 10.0.0.13 192.168.1.20 TCP A 39308 80
1773426889.745883 10.0.0.123 192.168.1.20 TCP A 33978 80
1773426889.770883 10.0.0.136 192.168.1.20 TCP A 11341 80
1773426889.795883 10.0.0.15 192.168.1.20 TCP A 63989 80
1773426889.820883 10.0.0.131 192.168.1.20 TCP A 6274 80
1773426889.845883 10.0.0.48 192.168.1.20 TCP A 5514 80
1773426889.870883 10.0.0.18 192.168.1.20 TCP A 45274 80
1773426889.895883 10.0.0.61 192.168.1.20 TCP A 27485 80
1773426889.920883 10.0.0.31 192.168.1.20 TCP A 62732 80
1773426889.945883 10.0.0.146 192.168.1.20 TCP A 17159 80
1773426889.970883 10.0.0.149 192.168.1.20 TCP A 39986 80
1773426889.995883 10.0.0.11 192.168.1.20 TCP A 41615 80
1773426890.020884 10.0.0.21 192.168.1.20 TCP A 28498 80
1773426890.045884 10.0.0.150 192.168.1.20 TCP A 38066 80
1773426890.070884 10.0.0.134 192.168.1.20 TCP A 21757 80
1773426890.095884 10.0.0.67 192.168.1.20 TCP A 14410 80
1773426890.120884 10.0.0.81 192.168.1.20 TCP A 16666 80
1773426890.145884 10.0.0.68 192.168.1.20 TCP A 26962 80
1773426890.170884 10.0.0.34 192.168.1.20 TCP A 45043 80
1773426890.195884 10.0.0.77 192.168.1.20 TCP A 30988 80
1773426890.220884 10.0.0.81 192.168.1.20 TCP A 61908 80
1773426890.245884 10.0.0.19 192.168.1.20 TCP S 1634 80
1773426890.345884 10.0.0.118 192.168.1.20 TCP S 41732 80
1773426890.445884 10.0.0.145 192.168.1.20 TCP S 7576 80
1773426890.545884 10.0.0.19 192.168.1.20 TCP S 36258 80
1773426890.645884 10.0.0.55 192.168.1.20 TCP S 34177 80
1773426890.745884 10.0.0.68 192.168.1.20 TCP S 9704 80
1773426890.845884 10.0.0.90 192.168.1.20 TCP S 58752 80
1773426890.945884 10.0.0.18 192.168.1.20 TCP S 58647 80
1773426891.045884 10.0.0.63 192.168.1.20 TCP S 25241 80
1773426891.145884 10.0.0.73 192.168.1.20 TCP S 11362 80
1773426891.245883 10.0.0.113 192.168.1.20 TCP A 55664 80
1773426891.270884 10.0.0.140 192.168.1.20 TCP A 47131 80
1773426891.295884 10.0.0.78 192.168.1.20 TCP A 41110 80
1773426891.320884 10.0.0.136 192.168.1.20 TCP A 1536 80
1773426891.345884 10.0.0.142 192.168.1.20 TCP A 20644 80
1773426891.370884 10.0.0.27 192.168.1.20 TCP A 62557 80
1773426891.395884 10.0.0.35 192.168.1.20 TCP A 18356 80
1773426891.420884 10.0.0.30 192.168.1.20 TCP A 59332 80
1773426891.445884 10.0.0.28 192.168.1.20 TCP A 49679 80
1773426891.470884 10.0.0.142 192.168.1.20 TCP A 11211 80
1773426891.495884 10.0.0.70 192.168.1.20 TCP A 19489 80
1773426891.520885 10.0.0.54 192.168.1.20 TCP A 48053 80
1773426891.545885 10.0.0.88 192.168.1.20 TCP A 14366 80
1773426891.570885 10.0.0.68 192.168.1.20 TCP A 34146 80
1773426891.595885 10.0.0.126 192.168.1.20 TCP A 17481 80
1773426891.620885 10.0.0.14 192.168.1.20 TCP A 7072 80
1773426891.645885 10.0.0.109 192.168.1.20 TCP A 55376 80
1773426891.670885 10.0.0.71 192.168.1.20 TCP A 3913 80
1773426891.695885 10.0.0.1 192.168.1.20 TCP A 22883 80
1773426891.720885 10.0.0.34 192.168.1.20 TCP A 42777 80
1773426891.745885 10.0.0.68 192.168.1.20 TCP A 11613 80
1773426891.770885 10.0.0.114 192.168.1.20 TCP A 37178 80
1773426891.795886 10.0.0.110 192.168.1.20 TCP A 37783 80
1773426891.820886 10.0.0.3 192.168.1.20 TCP A 8355 80
1773426891.845886 10.0.0.20 192.168.1.20 TCP A 62958 80
1773426891.870886 10.0.0.39 192.168.1.20 TCP A 36779 80
1773426891.895886 10.0.0.10 192.168.1.20 TCP A 55720 80
1773426891.920886 10.0.0.95 192.168.1.20 TCP A 39199 80
1773426891.945886 10.0.0.142 192.168.1.20 TCP A 10729 80
1773426891.970886 10.0.0.111 192.168.1.20 TCP A 9376 80
1773426891.995886 10.0.0.11 192.168.1.20 TCP A 21226 80
1773426892.020886 10.0.0.94 192.168.1.20 TCP A 59939 80
1773426892.045887 10.0.0.11 192.168.1.20 TCP A 59935 80
1773426892.070887 10.0.0.92 192.168.1.20 TCP A 14791 80
1773426892.095887 10.0.0.64 192.168.1.20 TCP A 44732 80
1773426892.120887 10.0.0.27 192.168.1.20 TCP A 24202 80
1773426892.145887 10.0.0.144 192.168.1.20 TCP A 58966 80
1773426892.170887 10.0.0.105 192.168.1.20 TCP A 64845 80
1773426892.195887 10.0.0.40 192.168.1.20 TCP A 61694 80
1773426892.220887 10.0.0.61 192.168.1.20 TCP A 57686 80
1773426892.245887 10.0.0.42 192.168.1.20 TCP S 65000 80
1773426892.345887 10.0.0.46 192.168.1.20 TCP S 58788 80
1773426892.445887 10.0.0.106 192.168.1.20 TCP S 2648 80
1773426892.545887 10.0.0.46 192.168.1.20 TCP S 49295 80
1773426892.645887 10.0.0.86 192.168.1.20 TCP S 52298 80
1773426892.745887 10.0.0.106 192.168.1.20 TCP S 53599 80
1773426892.845887 10.0.0.64 192.168.1.20 TCP S 18509 80
1773426892.945887 10.0.0.41 192.168.1.20 TCP S 52625 80
1773426893.045887 10.0.0.28 192.168.1.20 TCP S 26094 80
1773426893.145886 10.0.0.10 192.168.1.20 TCP S 57292 80
1773426893.245886 10.0.0.121 192.168.1.20 TCP A 15601 80
1773426893.270886 10.0.0.52 192.168.1.20 TCP A 54539 80
1773426893.295887 10.0.0.118 192.168.1.20 TCP A 23939 80
1773426893.320887 10.0.0.79 192.168.1.20 TCP A 54798 80
1773426893.345887 10.0.0.59 192.168.1.20 TCP A 15633 80
1773426893.370887 10.0.0.7 192.168.1.20 TCP A 44279 80
1773426893.395887 10.0.0.50 192.168.1.20 TCP A 27137 80
1773426893.420887 10.0.0.85 192.168.1.20 TCP A 19282 80
1773426893.445887 10.0.0.18 192.168.1.20 TCP A 64390 80
1773426893.470887 10.0.0.72 192.168.1.20 TCP A 24036 80
1773426893.495887 10.0.0.131 192.168.1.20 TCP A 27217 80
1773426893.520887 10.0.0.138 192.168.1.20 TCP A 22726 80
1773426893.545887 10.0.0.8 192.168.1.20 TCP A 8583 80
1773426893.570888 10.0.0.67 192.168.1.20 TCP A 12726 80
1773426893.595888 10.0.0.149 192.168.1.20 TCP A 64104 80
1773426893.620888 10.0.0.68 192.168.1.20 TCP A 3531 80
1773426893.645888 10.0.0.28 192.168.1.20 TCP A 40120 80
1773426893.670888 10.0.0.112 192.168.1.20 TCP A 23678 80
1773426893.695888 10.0.0.81 192.168.1.20 TCP A 29623 80
1773426893.720888 10.0.0.131 192.168.1.20 TCP A 8602 80
1773426893.745888 10.0.0.99 192.168.1.20 TCP A 59973 80
1773426893.770888 10.0.0.148 192.168.1.20 TCP A 13481 80
1773426893.795888 10.0.0.66 192.168.1.20 TCP A 3932 80
1773426893.820889 10.0.0.112 192.168.1.20 TCP A 1134 80
1773426893.845889 10.0.0.134 192.168.1.20 TCP A 61682 80
1773426893.870889 10.0.0.138 192.168.1.20 TCP A 46037 80
1773426893.895889 10.0.0.51 192.168.1.20 TCP A 24893 80
1773426893.920889 10.0.0.111 192.168.1.20 TCP A 5609 80
1773426893.945889 10.0.0.85 192.168.1.20 TCP A 41863 80
1773426893.970889 10.0.0.81 192.168.1.20 TCP A 44499 80
1773426893.995889 10.0.0.32 192.168.1.20 TCP A 48193 80
1773426894.020889 10.0.0.77 192.168.1.20 TCP A 34258 80
1773426894.045889 10.0.0.80 192.168.1.20 TCP A 44729 80
1773426894.070889 10.0.0.105 192.168.1.20 TCP A 22400 80
1773426894.095890 10.0.0.104 192.168.1.20 TCP A 46716 80
1773426894.120890 10.0.0.76 192.168.1.20 TCP A 37357 80
1773426894.145890 10.0.0.33 192.168.1.20 TCP A 13596 80
1773426894.170890 10.0.0.108 192.168.1.20 TCP A 44600 80
1773426894.195890 10.0.0.98 192.168.1.20 TCP A 45412 80
1773426894.220890 10.0.0.45 192.168.1.20 TCP A 41362 80
1773426894.245890 10.0.0.146 192.168.1.20 TCP S 20747 80
1773426894.345890 10.0.0.104 192.168.1.20 TCP S 36933 80
1773426894.445890 10.0.0.1 192.168.1.20 TCP S 20938 80
1773426894.545890 10.0.0.74 192.168.1.20 TCP S 14798 80
1773426894.645890 10.0.0.111 192.168.1.20 TCP S 52519 80
1773426894.745890 10.0.0.149 192.168.1.20 TCP S 40782 80
1773426894.845890 10.0.0.83 192.168.1.20 TCP S 31497 80
1773426894.945889 10.0.0.114 192.168.1.20 TCP S 30001 80
1773426895.045889 10.0.0.55 192.168.1.20 TCP S 34524 80
1773426895.145889 10.0.0.122 192.168.1.20 TCP S 53042 80
1773426895.245889 10.0.0.44 192.168.1.20 TCP A 44202 80
1773426895.270889 10.0.0.22 192.168.1.20 TCP A 19622 80
1773426895.295889 10.0.0.132 192.168.1.20 TCP A 44530 80
1773426895.320889 10.0.0.86 192.168.1.20 TCP A 7144 80
1773426895.345890 10.0.0.61 192.168.1.20 TCP A 45116 80
1773426895.370890 10.0.0.80 192.168.1.20 TCP A 15746 80
1773426895.395890 10.0.0.51 192.168.1.20 TCP A 10680 80
1773426895.420890 10.0.0.7 192.168.1.20 TCP A 4052 80
1773426895.445890 10.0.0.63 192.168.1.20 TCP A 65507 80
1773426895.470890 10.0.0.122 192.168.1.20 TCP A 41084 80
1773426895.495890 10.0.0.19 192.168.1.20 TCP A 30870 80
1773426895.520890 10.0.0.107 192.168.1.20 TCP A 59097 80
1773426895.545890 10.0.0.148 192.168.1.20 TCP A 13766 80
1773426895.570890 10.0.0.99 192.168.1.20 TCP A 33423 80
1773426895.595891 10.0.0.103 192.168.1.20 TCP A 17013 80
1773426895.620891 10.0.0.38 192.168.1.20 TCP A 44019 80
1773426895.645891 10.0.0.2 192.168.1.20 TCP A 59525 80
1773426895.670891 10.0.0.28 192.168.1.20 TCP A 52038 80
1773426895.695891 10.0.0.109 192.168.1.20 TCP A 15365 80
1773426895.720891 10.0.0.46 192.168.1.20 TCP A 53722 80
1773426895.745891 10.0.0.133 192.168.1.20 TCP A 31468 80
1773426895.770891 10.0.0.13 192.168.1.20 TCP A 37554 80
1773426895.795891 10.0.0.64 192.168.1.20 TCP A 61151 80
1773426895.820891 10.0.0.32 192.168.1.20 TCP A 30938 80
1773426895.845891 10.0.0.35 192.168.1.20 TCP A 53545 80
1773426895.870892 10.0.0.119 192.168.1.20 TCP A 44774 80
1773426895.895892 10.0.0.136 192.168.1.20 TCP A 37653 80
1773426895.920892 10.0.0.82 192.168.1.20 TCP A 63285 80
1773426895.945892 10.0.0.114 192.168.1.20 TCP A 41174 80
1773426895.970892 10.0.0.130 192.168.1.20 TCP A 28990 80
1773426895.995892 10.0.0.141 192.168.1.20 TCP A 30247 80
1773426896.020892 10.0.0.41 192.168.1.20 TCP A 49760 80
1773426896.045892 10.0.0.122 192.168.1.20 TCP A 30519 80
1773426896.070892 10.0.0.67 192.168.1.20 TCP A 50292 80
1773426896.095892 10.0.0.64 192.168.1.20 TCP A 56065 80
1773426896.120893 10.0.0.71 192.168.1.20 TCP A 51212 80
1773426896.145893 10.0.0.134 192.168.1.20 TCP A 32782 80
1773426896.170893 10.0.0.62 192.168.1.20 TCP A 19020 80
1773426896.195893 10.0.0.113 192.168.1.20 TCP A 6101 80
1773426896.220893 10.0.0.74 192.168.1.20 TCP A 16391 80
1773426896.245893 10.0.0.70 192.168.1.20 TCP S 23034 80
1773426896.345893 10.0.0.82 192.168.1.20 TCP S 59549 80
1773426896.445893 10.0.0.139 192.168.1.20 TCP S 6304 80
1773426896.545893 10.0.0.36 192.168.1.20 TCP S 10908 80
1773426896.645893 10.0.0.60 192.168.1.20 TCP S 26126 80
1773426896.745893 10.0.0.40 192.168.1.20 TCP S 47319 80
1773426896.845892 10.0.0.55 192.168.1.20 TCP S 5233 80
1773426896.945892 10.0.0.107 192.168.1.20 TCP S 27736 80
1773426897.045892 10.0.0.85 192.168.1.20 TCP S 36584 80
1773426897.145892 10.0.0.120 192.168.1.20 TCP S 28272 80
1773426897.245892 10.0.0.16 192.168.1.20 TCP A 14579 80
1773426897.270892 10.0.0.108 192.168.1.20 TCP A 26548 80
1773426897.295892 10.0.0.150 192.168.1.20 TCP A 63025 80
1773426897.320892 10.0.0.6 192.168.1.20 TCP A 57170 80
1773426897.345892 10.0.0.148 192.168.1.20 TCP A 25952 80
1773426897.370893 10.0.0.123 192.168.1.20 TCP A 1410 80
1773426897.395893 10.0.0.91 192.168.1.20 TCP A 20593 80
1773426897.420893 10.0.0.100 192.168.1.20 TCP A 56955 80
1773426897.445893 10.0.0.108 192.168.1.20 TCP A 36296 80
1773426897.470893 10.0.0.140 192.168.1.20 TCP A 53444 80
1773426897.495893 10.0.0.57 192.168.1.20 TCP A 33020 80
1773426897.520893 10.0.0.57 192.168.1.20 TCP A 18911 80
1773426897.545893 10.0.0.112 192.168.1.20 TCP A 32851 80
1773426897.570893 10.0.0.8 192.168.1.20 TCP A 26508 80
1773426897.595893 10.0.0.87 192.168.1.20 TCP A 44859 80
1773426897.620893 10.0.0.104 192.168.1.20 TCP A 48483 80
1773426897.645894 10.0.0.43 192.168.1.20 TCP A 56107 80
1773426897.670894 10.0.0.120 192.168.1.20 TCP A 61287 80
1773426897.695894 10.0.0.33 192.168.1.20 TCP A 65296 80
1773426897.720894 10.0.0.137 192.168.1.20 TCP A 2791 80
1773426897.745894 10.0.0.101 192.168.1.20 TCP A 39814 80
1773426897.770894 10.0.0.145 192.168.1.20 TCP A 44474 80
1773426897.795894 10.0.0.7 192.168.1.20 TCP A 6525 80
1773426897.820894 10.0.0.110 192.168.1.20 TCP A 9917 80
1773426897.845894 10.0.0.119 192.168.1.20 TCP A 12933 80
1773426897.870894 10.0.0.13 192.168.1.20 TCP A 18073 80
1773426897.895895 10.0.0.98 192.168.1.20 TCP A 22477 80
1773426897.920895 10.0.0.55 192.168.1.20 TCP A 30823 80
1773426897.945895 10.0.0.84 192.168.1.20 TCP A 23142 80
1773426897.970895 10.0.0.98 192.168.1.20 TCP A 19259 80
1773426897.995895 10.0.0.108 192.168.1.20 TCP A 17556 80
1773426898.020895 10.0.0.21 192.168.1.20 TCP A 31846 80
1773426898.045895 10.0.0.5 192.168.1.20 TCP A 50112 80
1773426898.070895 10.0.0.139 192.168.1.20 TCP A 4437 80
1773426898.095895 10.0.0.90 192.168.1.20 TCP A 15718 80
1773426898.120895 10.0.0.18 192.168.1.20 TCP A 52222 80
1773426898.145895 10.0.0.11 192.168.1.20 TCP A 50453 80
1773426898.170896 10.0.0.8 192.168.1.20 TCP A 63257 80
1773426898.195896 10.0.0.64 192.168.1.20 TCP A 14089 80
1773426898.220896 10.0.0.6 192.168.1.20 TCP A 41743 80
1773426898.245896 10.0.0.40 192.168.1.20 TCP S 16657 80
1773426898.345896 10.0.0.33 192.168.1.20 TCP S 32059 80
1773426898.445896 10.0.0.30 192.168.1.20 TCP S 37984 80
1773426898.545896 10.0.0.56 192.168.1.20 TCP S 31500 80
1773426898.645895 10.0.0.66 192.168.1.20 TCP S 51283 80
1773426898.745895 10.0.0.95 192.168.1.20 TCP S 12020 80
1773426898.845895 10.0.0.30 192.168.1.20 TCP S 51997 80
1773426898.945895 10.0.0.42 192.168.1.20 TCP S 64247 80
1773426899.045895 10.0.0.80 192.168.1.20 TCP S 8108 80
1773426899.145895 10.0.0.149 192.168.1.20 TCP S 2706 80
1773426899.245895 10.0.0.80 192.168.1.20 TCP A 38759 80
1773426899.270895 10.0.0.97 192.168.1.20 TCP A 27019 80
1773426899.295895 10.0.0.51 192.168.1.20 TCP A 6004 80
1773426899.320895 10.0.0.63 192.168.1.20 TCP A 7702 80
1773426899.345895 10.0.0.78 192.168.1.20 TCP A 56748 80
1773426899.370895 10.0.0.31 192.168.1.20 TCP A 53205 80
1773426899.395895 10.0.0.145 192.168.1.20 TCP A 52314 80
1773426899.420896 10.0.0.11 192.168.1.20 TCP A 23778 80
1773426899.445896 10.0.0.137 192.168.1.20 TCP A 29098 80
1773426899.470896 10.0.0.95 192.168.1.20 TCP A 5543 80
